court,total_cases
texapp,484
calctapp,320
ca3,274
ca5,266
nysd,236
dcd,233
scotus,210
illappct,197
ca9,176
ca7,172
ca6,158
ilnd,151
ca8,150
ca4,127
paed,115
nyed,114
mied,97
ca11,96
njd,89
almd,88
ca2,88
mad,88
mdd,88
ca1,86
cal,82
vaed,77
njsuperctappdiv,70
laed,67
lactapp,66
cand,64
ca10,62
nj,62
cadc,61
ill,61
ohnd,61
ctd,55
ded,55
michctapp,53
txsd,52
cacd,51
ksd,51
txnd,51
md,47
ohsd,47
pa,47
cod,46
ared,45
miwd,45
txed,45
washctapp,44
mich,43
indctapp,41
pawd,40
texcrimapp,40
moctapp,38
alnd,37
nywd,37
iowa,36
wiwd,36
dc,35
flmd,35
innd,35
pacommwct,35
tex,35
wied,35
gand,33
pamd,33
msnd,32
flsd,31
mo,31
txwd,31
wash,31
casd,30
iand,30
mass,30
minn,30
tnmd,30
alaska,29
fladistctapp,29
mnd,29
moed,29
ncwd,29
mowd,28
ord,28
rid,28
la,27
prd,27
scd,27
vawd,27
wis,27
nynd,26
orctapp,26
insd,25
mssd,24
lawd,23
mdctspecapp,23
med,23
tennctapp,23
arizctapp,22
conn,22
ned,22
wva,22
alsd,21
fla,21
gamd,21
miss,21
pasuperct,21
minnctapp,20
ncmd,19
neb,19
okla,19
tned,19
wyo,19
caed,18
flnd,18
nced,18
gasd,17
kan,17
mont,17
tnwd,17
ark,16
hid,16
iasd,16
utd,16
idaho,14
nysb,14
okwd,14
tenncrimapp,14
wawd,14
azd,13
kywd,13
lamd,13
ri,13
sdd,13
ala,12
ind,12
nc,12
nd,12
ny,12
ohioctapp,12
southcarolinaed,12
va,12
vactapp,12
colo,11
ilcd,11
me,11
or,11
sd,11
wisctapp,11
del,10
nhd,10
nmd,10
ariz,9
arwd,9
idahoctapp,9
deb,8
delch,8
flmb,8
ilsd,8
nvd,8
wvsd,8
cit,7
ncctapp,7
oknd,7
tenn,7
alacivapp,6
alacrimapp,6
connappct,6
ga,6
haw,6
ilnb,6
ndd,6
nev,6
sc,6
bap9,5
hawapp,5
idd,5
iowactapp,5
kyctapphigh,5
mab,5
nm,5
oked,5
tneb,5
txnb,5
vtd,5
waed,5
wyd,5
arkctapp,4
cafc,4
cob,4
delsuperct,4
illinoised,4
kyctapp,4
nmctapp,4
nyappdiv,4
oklacrimapp,4
paeb,4
vaeb,4
vt,4
wvnd,4
akd,3
alaskactapp,3
coloctapp,3
flsb,3
gactapp,3
idb,3
kanctapp,3
nebctapp,3
nvb,3
ohnb,3
txsb,3
uscfc,3
vid,3
alnb,2
connsuperct,2
ilcb,2
indtc,2
innb,2
ksb,2
ky,2
kyed,2
massappct,2
mdb,2
mieb,2
mnb,2
mtb,2
nh,2
nyeb,2
nynb,2
nywb,2
ohioctcl,2
oklaag,2
scctapp,2
utah,2
vtb,2
acca,1
afcca,1
arb,1
armfor,1
arwb,1
asbca,1
bap1,1
bap6,1
bap8,1
cacb,1
canb,1
cc,1
ctb,1
gamb,1
ianb,1
jpml,1
kyeb,1
kywb,1
meb,1
missctapp,1
miwb,1
mtd,1
nhb,1
njb,1
ohio,1
ohsb,1
oklacivapp,1
oknb,1
okwb,1
orb,1
pamb,1
pawb,1
reglrailreorgct,1
sdb,1
tnmb,1
txeb,1
txwb,1
wieb,1
wiwb,1
